Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
2022-01-11_15:01:07,2022-01-12_00:00:00,F32,11,261984,264767,2140,220,21,29,1739,341,70,363
2022-01-13_15:48:37,2022-01-14_00:00:00,F32,11,263662,266275,2169,144,14,30,1455,258,35,677
2022-01-15_09:07:16,2022-01-16_00:00:00,F32,11,479529,485258,4044,332,41,24,2524,645,99,2064
2022-01-16_00:00:00,2022-01-17_00:00:00,F32,11,687361,695800,6151,664,33,68,3740,780,139,3015
2022-01-17_00:00:00,2022-01-18_00:00:00,F32,11,775124,785521,6779,695,41,36,3260,869,201,5295
2022-01-18_00:00:00,2022-01-19_00:00:00,F32,11,782114,794641,6535,963,50,45,4916,1305,198,5050
2022-01-19_16:51:43,2022-01-20_00:00:00,F32,11,24319,26795,210,186,8,10,1788,336,9,139
2022-01-20_10:49:33,2022-01-21_00:00:00,F32,11,369591,374647,2591,242,16,15,1222,306,48,3207
2022-01-21_22:49:26,2022-01-22_00:00:00,F32,11,38558,39365,252,51,2,7,281,1,4,461
2022-01-22_00:00:00,2022-01-23_00:00:00,F32,11,676785,692323,4741,796,78,110,4966,504,137,8947
2022-01-23_00:00:00,2022-01-24_00:00:00,F32,11,744905,764090,5638,613,54,51,8307,377,119,9664
2022-01-24_11:14:44,2022-01-25_00:00:00,F32,11,320948,326663,2110,356,10,15,2746,208,54,2326
2022-01-25_08:27:28,2022-01-26_00:00:00,F32,11,493501,499239,3289,695,40,119,1821,622,60,1596,785
2022-01-26_00:00:00,2022-01-27_00:00:00,F32,11,779387,794536,5993,2920,66,298,5033,1259,64,4475,1034
2022-01-27_13:59:33,2022-01-28_00:00:00,F32,11,327523,334272,2453,169,34,18,847,249,24,5408
2022-01-28_17:04:39,2022-01-29_00:00:00,F32,11,228583,231176,1621,62,28,109,790,242,4,1358
2022-01-29_00:00:00,2022-01-30_00:00:00,F32,11,791103,799678,5959,473,120,490,2283,715,6,4488
2022-01-30_00:00:00,2022-01-31_00:00:00,F32,11,261650,267562,5003,313,43,2970,1558,295,3,730
2022-01-31_11:46:24,2022-02-01_00:00:00,F32,11,335887,341961,2830,99,9,1944,1686,332,5,1999
2022-02-01_00:00:00,2022-02-02_00:00:00,F32,11,658040,670327,5840,186,14,1969,5330,1022,45,3721
2022-02-02_00:00:00,2022-02-03_00:00:00,F32,11,651089,662018,5609,259,31,864,5517,1085,79,3094
2022-02-03_08:20:59,2022-02-04_00:00:00,F32,11,433318,437949,3488,232,8,97,2450,576,55,1213
2022-02-04_16:52:27,2022-02-05_00:00:00,F32,11,197611,199142,1678,31,5,31,1000,192,14,258
2022-02-05_00:00:00,2022-02-06_00:00:00,F32,11,666709,671060,5698,163,3,100,2283,748,80,974
2022-02-06_00:00:00,2022-02-07_00:00:00,F32,11,627741,634561,5623,351,16,106,4611,739,48,949
2022-02-07_00:00:00,2022-02-08_00:00:00,F32,11,663069,670745,5996,279,27,192,5146,934,52,1046
2022-02-08_09:10:14,2022-02-09_00:00:00,F32,11,409948,414265,3809,221,40,90,2324,748,38,856
2022-02-10_20:01:25,2022-02-11_00:00:00,F32,11,109627,111073,1070,93,4,33,784,109,55,368
2022-02-11_15:35:13,2022-02-12_00:00:00,F32,11,231556,235046,2288,114,21,66,2602,306,44,337
2022-02-12_08:23:14,2022-02-13_00:00:00,F32,11,432277,436081,4357,295,29,110,1901,678,79,712
2022-02-13_00:00:00,2022-02-14_00:00:00,F32,11,219660,222805,2254,196,19,63,2195,231,60,381
2022-02-14_00:00:00,2022-02-15_00:00:00,F32,11,717762,726122,8507,545,18,84,6300,564,60,789
2022-02-15_00:00:00,2022-02-16_00:00:00,F32,11,785272,796042,10076,738,48,123,7693,575,77,1516
2022-02-16_00:00:00,2022-02-17_00:00:00,F32,11,775497,787315,9940,1686,70,155,5735,1138,49,2985
2022-02-17_18:18:30,2022-02-18_00:00:00,F32,11,184812,188876,2333,796,12,62,2307,666,15,206
2022-02-18_00:00:00,2022-02-19_00:00:00,F32,11,766830,786988,10111,3661,134,322,11219,2567,62,2193
2022-02-19_00:00:00,2022-02-20_00:00:00,F32,11,735932,749308,9750,1581,137,287,6482,2642,55,2192
2022-02-20_00:00:00,2022-02-21_00:00:00,F32,11,744227,759526,10058,2234,178,282,7077,3421,69,2038
2022-02-21_00:00:00,2022-02-22_00:00:00,F32,11,742009,758150,10174,1408,121,272,9209,3053,67,2011
2022-02-22_00:00:00,2022-02-23_00:00:00,F32,11,653825,664741,9238,919,174,237,4361,3227,70,1928
2022-02-23_00:00:00,2022-02-24_00:00:00,F32,11,216627,221615,2985,894,84,86,2663,691,23,547
2022-02-24_00:00:00,2022-02-25_00:00:00,F32,11,5554,5697,59,23,15,4,62,25,2,12
2022-02-25_00:00:00,2022-02-26_00:00:00,F32,11,221,251,3,4,1,0,1,20,0,4
2022-02-26_00:00:00,2022-02-27_00:00:00,F32,11,8842,88512,49906,416,56,40,254,11,8,78885
2022-02-28_09:44:35,2022-03-01_00:00:00,F32,11,414137,420923,12556,689,68,209,2660,909,133,2118
2022-03-01_00:00:00,2022-03-02_00:00:00,F32,11,323101,327298,4414,451,47,128,1402,1112,70,987
2022-03-02_15:48:04,2022-03-03_00:00:00,F32,11,229922,232753,3221,160,11,34,534,1191,33,868
2022-03-03_00:00:00,2022-03-04_00:00:00,F32,11,675669,684699,9578,581,48,74,2398,2930,62,2937
2022-03-04_00:00:00,2022-03-05_00:00:00,F32,11,700334,708443,9195,640,38,89,3638,1461,79,2164
2022-03-05_00:00:00,2022-03-06_00:00:00,F32,11,700646,707945,8557,669,43,94,3262,1133,82,2016
2022-03-06_00:00:00,2022-03-07_00:00:00,F32,11,680141,687962,7572,784,40,140,4602,455,112,1688
2022-03-07_00:00:00,2022-03-08_00:00:00,F32,11,656044,663481,6219,2038,57,92,2593,506,31,2120
2022-03-08_00:00:00,2022-03-09_00:00:00,F32,11,680422,688808,5953,2009,56,64,3363,830,23,2041
2022-03-09_00:00:00,2022-03-10_00:00:00,F32,11,669356,677272,5786,1084,39,88,3765,1171,43,1726
2022-03-11_08:23:20,2022-03-12_00:00:00,F32,11,431984,436547,3741,196,17,35,2424,635,59,1197
2022-03-12_00:00:00,2022-03-13_00:00:00,F32,11,663378,671024,5819,776,51,62,3593,1304,59,1801
2022-03-13_00:00:00,2022-03-14_00:00:00,F32,11,663179,671084,5782,1880,78,80,3371,708,46,1742
2022-03-14_00:00:00,2022-03-15_00:00:00,F32,11,656669,662835,5787,820,87,63,2172,946,32,2046
2022-03-15_11:35:43,2022-03-16_00:00:00,F32,11,343342,346895,3048,223,22,37,1668,428,22,1153
2022-03-16_00:00:00,2022-03-17_00:00:00,F32,11,685119,692664,6400,765,41,136,2931,1517,127,2028
2022-03-17_00:00:00,2022-03-18_00:00:00,F32,11,512811,521870,5046,1848,116,273,2764,1788,135,2135
2022-03-18_00:00:00,2022-03-19_00:00:00,F32,11,290546,293826,2717,378,87,112,489,1155,57,1002
2022-03-19_00:00:00,2022-03-20_00:00:00,F32,11,753502,763590,6659,1008,102,228,1786,2120,145,4699
2022-03-20_00:00:00,2022-03-21_00:00:00,F32,11,753432,764065,6578,869,127,258,2008,2374,105,4892
2022-03-21_00:00:00,2022-03-22_00:00:00,F32,11,755332,764149,6406,1103,160,276,2439,2673,99,2067
2022-03-22_00:00:00,2022-03-23_00:00:00,F32,11,733475,740903,6208,1070,96,300,2185,1700,140,1937
2022-03-23_00:00:00,2022-03-24_00:00:00,F32,11,752787,761314,6633,987,72,353,3066,1403,151,2495
2022-03-24_09:22:50,2022-03-25_00:00:00,F32,11,480929,486215,4276,1050,214,193,1203,1234,81,1311
2022-03-25_00:00:00,2022-03-26_00:00:00,F32,11,801314,811483,8472,2312,450,453,2099,2171,111,2573
2022-03-26_00:00:00,2022-03-27_00:00:00,F32,11,787420,797068,10948,1227,487,556,2995,1518,178,2687
2022-03-27_00:00:00,2022-03-28_00:00:00,F32,11,758572,765616,10676,988,175,236,2870,1208,174,1393
2022-03-28_08:30:48,2022-03-29_00:00:00,F32,11,340971,345558,4150,649,68,178,2429,912,98,253
2022-03-29_00:00:00,2022-03-30_00:00:00,F32,11,701157,709795,8057,1684,283,242,3377,2047,194,811
2022-03-30_14:43:28,2022-03-31_00:00:00,F32,11,290753,294180,3326,708,118,102,1258,704,70,467
2022-03-31_00:00:00,2022-04-01_00:00:00,F32,11,204304,207140,2830,544,44,137,870,751,48,442
2022-04-01_00:00:00,2022-04-02_00:00:00,F32,11,748154,759024,10266,2536,55,535,3055,1830,118,2741
2022-04-02_12:21:31,2022-04-03_00:00:00,F32,11,293671,302207,16941,761,12,122,1683,445,37,5476
2022-04-03_00:00:00,2022-04-04_00:00:00,F32,11,601888,619681,36993,1984,127,391,4849,1132,72,9238
2022-04-04_14:43:23,2022-04-05_00:00:00,F32,11,231576,241492,11852,628,72,58,1517,497,47,7097
2022-04-05_00:00:00,2022-04-06_00:00:00,F32,11,571671,603363,31728,2647,275,184,5453,1107,163,21863
2022-04-07_12:46:30,2022-04-08_00:00:00,F32,11,299557,305055,2715,1175,79,53,2954,399,65,773
2022-04-08_00:00:00,2022-04-09_00:00:00,F32,11,643621,653979,7167,1716,138,167,5270,1059,129,1879
2022-04-09_00:00:00,2022-04-10_00:00:00,F32,11,661093,668654,7849,1232,117,139,3028,1226,160,1659
2022-04-10_00:00:00,2022-04-11_00:00:00,F32,11,655301,664770,6098,2497,224,148,3081,1664,147,1708
2022-04-11_00:00:00,2022-04-12_00:00:00,F32,11,612399,621189,6841,1906,191,163,2985,932,84,2529
2022-04-12_00:00:00,2022-04-13_00:00:00,F32,11,609488,619279,8590,1894,180,129,3459,908,60,3161
2022-04-14_07:57:38,2022-04-15_00:00:00,F32,11,452366,466292,4189,1162,70,144,7347,1573,61,3569
2022-04-19_09:41:19,2022-04-20_00:00:00,F32,11,415124,424710,1250,2472,179,87,4695,390,33,1730
2022-04-20_00:00:00,2022-04-21_00:00:00,F32,11,682489,700799,2270,4328,278,144,10371,766,68,2355
2022-04-21_00:00:00,2022-04-22_00:00:00,F32,11,693016,711678,2265,4090,212,125,10783,842,102,2508
2022-04-22_09:44:01,2022-04-23_00:00:00,F32,11,450818,458017,1872,946,46,96,3767,631,33,1680
2022-04-23_00:00:00,2022-04-24_00:00:00,F32,11,771082,785489,3572,1433,83,148,8398,1116,80,3149
2022-04-24_00:00:00,2022-04-25_00:00:00,F32,11,171424,174933,757,336,16,36,2136,293,16,676
2022-04-25_00:00:00,2022-04-26_00:00:00,F32,11,56699,58611,269,412,22,54,703,416,21,284
2022-04-26_00:00:00,2022-04-27_00:00:00,F32,11,476418,485434,3810,1597,107,246,3218,1807,235,1806
2022-04-27_00:00:00,2022-04-28_00:00:00,F32,11,655611,665639,10793,2789,64,124,4391,374,192,2094
2022-04-28_17:30:04,2022-04-29_00:00:00,F32,11,185445,187357,754,533,14,17,1089,76,42,141
2022-04-29_00:00:00,2022-04-30_00:00:00,F32,11,675876,684805,2693,2449,55,62,5363,341,118,541
2022-04-30_00:00:00,2022-05-01_00:00:00,F32,11,663989,672788,2086,2670,65,68,4563,614,105,714
2022-05-01_00:00:00,2022-05-02_00:00:00,F32,11,684265,692755,2237,3187,128,90,2873,951,62,1199
2022-05-02_00:00:00,2022-05-03_00:00:00,F32,11,686310,693363,2243,1755,122,79,2886,1010,96,1105
2022-05-03_00:00:00,2022-05-04_00:00:00,F32,11,683561,692676,2348,2986,137,93,3748,1051,76,1024
2022-05-04_00:00:00,2022-05-05_00:00:00,F32,11,652164,660591,2267,1822,66,91,4100,1535,70,743
2022-05-05_00:00:00,2022-05-06_00:00:00,F32,11,678025,685750,2400,2041,130,115,2475,1948,127,889
2022-05-06_10:40:32,2022-05-07_00:00:00,F32,11,369537,374306,1295,1352,45,70,1752,1057,54,439
2022-05-08_10:23:18,2022-05-09_00:00:00,F32,11,374152,379401,1363,1288,41,58,1397,1777,98,590
2022-05-09_00:00:00,2022-05-10_00:00:00,F32,11,666954,674109,2820,1250,94,79,2398,1715,140,1479
2022-05-10_10:53:30,2022-05-11_00:00:00,F32,11,363720,367835,1791,547,59,52,1782,316,95,1264
